Sr. No.,Brand,Category,Product Name,ASIN,Product URL,Sales Frequency,Title,Description,Bulletpoints(3),Grade,Spell check,Dimensions details,Sentence case,A+ content,Grade2,Main image,Additional images,Infographics,Lifestyles,Video,A+ Content3,Info/lifestyle Total,Total Images,Info present,Lifestyle present,Video present or not,A+ content4,Image quality,Product information,Remark,Score,Grade5,Final Grade,Amazon USA,Amazon UK,Amazon CA,Amazon MX,Amazon Germany,Amazon France,Amazon Italy,Amazon Spain,Amazon Netherlands,Amazon Belgium,Amazon Sweden ,Amazon Poland,Amazon Australia,Amazon Japan,Amazon Singapore,Amazon UAE
541,Yellow Chimes,Fashion Jewellery,Yellow Chimes 18K Rose Gold Plated Opal Clip On Earrings for Women & Girls,B077WJRNNG,https://www.amazon.in/dp/B077WJRNNG,High,1,1,1,B,1,1,0,0,C,1,0,1,1,3,2,0,4,5,1,1,1,acceptable,available,0,57.78%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,Yellow Chimes,Fashion Jewellery,Yellow Chimes Designer Double Sided Fancy Wear Rose Earrings for Girls & Women,B06ZZGJ33F,https://www.amazon.in/dp/B06ZZGJ33F,High,1,1,1,B,1,1,0,0,C,1,0,0,0,3,0,0,3,4,0,1,0,acceptable,available,0,32.22%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,Yellow Chimes,Fashion Jewellery,Yellow Chimes Designer Double Sided Fancy Wear Rose Earrings for Girls & Women…,B076ZGRTK7,https://www.amazon.in/dp/B076ZGRTK7,High,1,1,1,B,1,1,0,0,C,1,0,0,0,0,0,0,0,1,0,0,0,acceptable,available,0,5.56%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,Yellow Chimes,Fashion Jewellery,Yellow Chimes Stylish Classic Fresh Water Pearl Silver Plated Cilp On Earrings for Women and Girls,B07MRGZ67K,https://www.amazon.in/dp/B07MRGZ67K,High,1,1,1,B,1,1,0,1,A,1,1,1,1,4,0,1,5,7,1,1,0,acceptable,available,0,78.89%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,Yellow Chimes,Fashion Jewellery,Yellow Chimes Trending Colors Feathers Latest Stylish Long Tassel Earrings for Women & Girls (Cyan),B07MCC9NHB,https://www.amazon.in/dp/B07MCC9NHB,High,1,1,1,B,1,1,0,0,C,1,1,3,3,2,2,0,5,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,Yellow Chimes,Fashion Jewellery,Yellow Chimes Latest Trend Tantalizing Delicate Red Crystal Modern Party Wear Tassel Earrings For Women,B082PKTMKT,https://www.amazon.in/dp/B082PKTMKT,High,1,1,1,B,0,1,0,0,B,1,1,0,0,1,0,0,1,3,0,1,0,acceptable,available,0,26.67%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547,Yellow Chimes,Fashion Jewellery,Yellow Chimes Elegant Long Chain Party Ware Hangings Gold Plated Tassel Drop Statement Earrings for Women and Girls,B07T41ZV5X,https://www.amazon.in/dp/B07T41ZV5X,High,1,1,1,B,1,1,0,0,C,1,0,2,2,4,0,0,6,7,1,1,0,acceptable,available,0,58.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,Yellow Chimes,Fashion Jewellery,Yellow Chimes Combo of 3 Pairs Big Hoop Earrings Silver Gold Rose Gold Stainless Steel Ear rings for Women and Girls,B07V6XZGXC,https://www.amazon.in/dp/B07V6XZGXC,High,1,1,1,B,1,1,0,0,C,1,1,3,3,3,3,0,6,8,1,1,1,acceptable,available,0,74.44%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,Yellow Chimes,Fashion Jewellery,Yellow Chimes Vintage Ethnic Fusion Tassel Dangle Earring for Women & Girls (Thread Tassel Earrings),B07MSKRWDY,https://www.amazon.in/dp/B07MSKRWDY,High,1,1,1,B,1,1,0,0,C,1,1,2,2,3,1,0,5,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,Yellow Chimes,Fashion Jewellery,Yellow Chimes Oxidized Silver Combo 2 Pairs Stylish Chandbali Jhumki Traditional Earrings for Women & Girls,B07L78XDYW,https://www.amazon.in/dp/B07L78XDYW,High,1,1,1,B,1,1,0,0,C,1,1,2,2,3,2,0,5,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,Yellow Chimes,Fashion Jewellery,Yellow Chimes Snowflake Crystal Hanging Danglers Stylish Silver Earrings for Women and Girls,B07N7FVH5B,https://www.amazon.in/dp/B07N7FVH5B,High,1,1,1,B,1,1,0,0,C,1,1,2,2,3,3,0,5,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,Yellow Chimes,Fashion Jewellery,Yellow Chimes A5 Grade Yellow Crystal Black Gun Plated Drop Earrings for Women & Girls,B077W9NNR5,https://www.amazon.in/dp/B077W9NNR5,High,1,1,1,B,1,1,0,0,C,1,1,3,3,2,2,0,5,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,Yellow Chimes,Fashion Jewellery,Yellow Chimes Swiss AAA Zircons Bouquet 18K Rose Gold Plated Earrings for Women,B01GBAKWLO,https://www.amazon.in/dp/B01GBAKWLO,High,1,1,1,B,1,1,0,0,C,1,0,0,0,4,3,0,4,5,0,1,1,acceptable,available,0,47.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,Yellow Chimes,Fashion Jewellery,Yellow Chimes Celebrity Choice Silver Plated Dangler Earrings for Women and Girls,B07FH7M14D,https://www.amazon.in/dp/B07FH7M14D,High,1,1,1,B,1,1,0,0,C,1,0,2,2,3,0,0,5,6,1,1,0,acceptable,available,0,53.33%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,Yellow Chimes,Fashion Jewellery,Yellow Chimes 6 and 9 Pairs Assorted Multiple Stud Earrings Big Hoop Tassel Drop Pearl Earrings for Women and Girls (Crystal Studs),B07V3Y965K,https://www.amazon.in/dp/B07V3Y965K,High,1,1,1,B,1,1,0,0,C,1,1,1,1,2,0,0,3,5,1,1,0,acceptable,available,0,47.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,Yellow Chimes,Fashion Jewellery,Yellow Chimes 6 and 9 Pairs Assorted Multiple Stud Earrings Big Hoop Tassel Drop Pearl Earrings for Women and Girls (6 Pair Silver Stud),B083JFQ36X,https://www.amazon.in/dp/B083JFQ36X,High,1,1,1,B,1,1,0,0,C,1,0,0,0,2,0,0,2,3,0,1,0,acceptable,available,0,26.67%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,Yellow Chimes,Fashion Jewellery,Yellow Chimes Fancy party ware Gold Plated Cubic Zirconia Metal Drop Earring for Women and Girls,B07MQF1VH3,https://www.amazon.in/dp/B07MQF1VH3,High,1,1,1,B,1,1,0,0,C,1,2,0,0,1,0,0,1,4,0,1,0,acceptable,available,0,32.22%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,Yellow Chimes,Fashion Jewellery,Yellow Chimes Stud Earrings Stylish gold-plated Base Metal Cubic Zircon Elegant Multicolour White Pearl Rose Gold Plated Stud Earrings For Women,B082PKTZT4,https://www.amazon.in/dp/B082PKTZT4,High,1,1,1,B,0,1,0,1,C,1,0,2,2,1,0,1,3,4,1,1,0,acceptable,available,0,62.22%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,Yellow Chimes,Fashion Jewellery,Yellow Chimes Gold Plated Multicolour Tassel Earrings for Women and Girls,B07M8NFM5G,https://www.amazon.in/dp/B07M8NFM5G,High,1,1,1,B,1,1,0,0,C,1,0,0,0,2,1,0,2,3,0,1,1,acceptable,available,0,36.67%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,Yellow Chimes,Fashion Jewellery,YELLOW CHIMES Flying Butterfly High Quality 18K Rose Gold Pated Swiss AAA Zircons Designer Earrings for Women,B01LNMI69K,https://www.amazon.in/dp/B01LNMI69K,High,1,1,1,B,1,1,0,0,C,1,0,3,3,3,0,0,6,7,1,1,0,acceptable,available,0,58.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,Yellow Chimes,Fashion Jewellery,Yellow Chimes A5 Grade Crystal Platinum Plated Designer Dangler Hoops Earrings for Women & Girls,B0785956M7,https://www.amazon.in/dp/B0785956M7,High,1,1,1,B,1,1,0,0,C,1,1,1,1,2,0,0,3,5,1,1,0,acceptable,available,0,47.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,Yellow Chimes,Fashion Jewellery,"Yellow Chimes Elegant Latest Fashion Gold Plated Stainless Steel Roman Numericals Engraved Stud Earrings for Women and Girls, Medium (YCFJER-147ROMN-GL)",B094XSN5DP,https://www.amazon.in/dp/B094XSN5DP,High,1,1,1,B,1,1,0,0,C,1,0,0,0,3,0,0,3,4,0,1,0,acceptable,available,0,32.22%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,Yellow Chimes,Fashion Jewellery,"Yellow Chimes Elegant Latest Fashion Rose Gold Plated Stainless Steel Roman Numericals Engraved Stud Earrings for Women and Girls, Medium (Model: YCFJER-147ROMN-RG)",B094XT5S5F,https://www.amazon.in/dp/B094XT5S5F,High,1,1,1,B,1,1,0,0,C,1,0,0,0,6,0,0,6,7,0,1,0,acceptable,available,0,48.89%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,Yellow Chimes,Fashion Jewellery,Yellow Chimes Floral Design Crystal Dangle Earrings For Women,B082PK4KHS,https://www.amazon.in/dp/B082PK4KHS,High,1,1,1,B,0,1,0,0,B,1,1,0,0,1,0,0,1,3,0,1,0,acceptable,available,0,26.67%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,Yellow Chimes,Fashion Jewellery,Yellow Chimes Red Dangle Earrings For Women and Girls,B082PL5DB9,https://www.amazon.in/dp/B082PL5DB9,High,1,1,1,B,1,1,0,0,C,1,1,3,3,2,0,0,5,7,1,1,0,acceptable,available,0,58.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Yellow Chimes,Fashion Jewellery,Yellow Chimes Crystals from Swarovski Stylish Clip On Studs Earrings for Women and Girls Party Wear Fashion Jewellery (Blue),B07MW1H4VX,https://www.amazon.in/dp/B07MW1H4VX,High,1,1,1,B,0,1,0,0,B,1,0,0,0,2,1,0,2,3,0,1,1,acceptable,available,0,36.67%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,Yellow Chimes,Fashion Jewellery,Yellow Chimes Crystals from Swarovski Stylish Clip On Studs Earrings for Women and Girls Party Wear Fashion Jewellery,B077XCV1W2,https://www.amazon.in/dp/B077XCV1W2,High,1,1,1,B,1,1,0,0,C,1,0,4,4,3,1,0,7,8,1,1,1,acceptable,available,0,74.44%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,Yellow Chimes,Fashion Jewellery,Yellow Chimes Crystals from Swarovski Stylish Clip On Studs Earrings for Women and Girls Party Wear Fashion Jewellery,B07KT49SWB,https://www.amazon.in/dp/B07KT49SWB,High,1,1,1,B,0,1,0,0,B,1,0,1,1,2,0,0,3,4,1,1,0,acceptable,available,0,42.22%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,Yellow Chimes,Fashion Jewellery,Yellow Chimes 6 Pairs Combo Set Stylish Fancy Casual/Formal Wear Silver Tone Stud Earrings for Women & Girls,B07Q3LCRHX,https://www.amazon.in/dp/B07Q3LCRHX,High,1,1,1,B,0,1,0,0,B,1,1,1,1,2,0,0,3,5,1,1,0,acceptable,available,0,47.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,Yellow Chimes,Fashion Jewellery,Yellow Chimes Multi Color Crystal Studded Long Dangle Earrings for Women and Girls,B082PM81NY,https://www.amazon.in/dp/B082PM81NY,High,1,1,1,B,1,1,0,0,C,1,0,0,0,2,2,0,2,3,0,1,1,acceptable,available,0,36.67%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571,Yellow Chimes,Fashion Jewellery,"Yellow Chimes Stainless Steel Golden Black Stud Earrings for Men and Boys, Small (YCFJER-160DGNR-GL)",B096VMVD89,https://www.amazon.in/dp/B096VMVD89,High,1,1,1,B,1,1,0,0,C,1,3,0,0,1,1,0,1,5,0,1,1,acceptable,available,0,47.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,Yellow Chimes,Fashion Jewellery,Yellow Chimes A5 Grade White Crystal Platinum Plated Dangler Earrings for Women & Girls,B077XJ66LC,https://www.amazon.in/dp/B077XJ66LC,High,1,1,1,B,1,1,0,0,C,1,0,3,3,3,0,0,6,7,1,1,0,acceptable,available,0,58.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,Yellow Chimes,Fashion Jewellery,Yellow Chimes Stylish Elegant Traditional Pearl Gold Plated Danglers Earrings for Women and Girls,B07NYRQ9FH,https://www.amazon.in/dp/B07NYRQ9FH,High,1,1,1,B,1,1,0,0,C,1,3,0,0,1,0,0,1,5,0,1,0,acceptable,available,0,37.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,Yellow Chimes,Fashion Jewellery,Yellow Chimes Elegant Sparkling Cubic Zircon Crystals Gold Plated Clip on Earrings for Women,B082R75D7T,https://www.amazon.in/dp/B082R75D7T,High,1,1,1,B,0,1,0,0,B,1,0,0,0,1,0,0,1,2,0,1,0,acceptable,available,0,21.11%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,Yellow Chimes,Fashion Jewellery,Yellow Chimes Elegant Latest Fashion Silver Plated Crystal designer Drop Earrings for Women and Girls (Design 5),B01LNLS5BU,https://www.amazon.in/dp/B01LNLS5BU,High,1,1,1,B,0,1,0,0,B,1,1,3,3,2,2,0,5,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,Yellow Chimes,Fashion Jewellery,Yellow Chimes Designer Collection Enamel Gold Plated Party ware Earring Alloy Dangle Earring for Women and Girls,B07MSKR5S7,https://www.amazon.in/dp/B07MSKR5S7,High,1,1,1,B,1,1,0,0,C,1,2,0,0,1,0,0,1,4,0,1,0,acceptable,available,0,32.22%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,Yellow Chimes,Fashion Jewellery,Yellow Chimes Designer Crystal Flower Pearl Silver Plated Stylish Earrings for Women and Girls,B07Q7NBN2P,https://www.amazon.in/dp/B07Q7NBN2P,High,1,1,1,B,1,1,0,1,A,1,0,1,1,4,1,1,5,6,1,1,1,acceptable,available,0,83.33%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,Yellow Chimes,Fashion Jewellery,Yellow Chimes Modern Fusion Oxidized silver Alloy Chandbali Earring for Women and Girls,B07MCCN1YY,https://www.amazon.in/dp/B07MCCN1YY,High,1,1,1,B,1,1,0,0,C,1,0,2,2,4,1,0,6,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,Yellow Chimes,Fashion Jewellery,"Yellow Chimes Combo of 2 Pairs Gold Plated Geometric Shape Pearl Design Drop Earrings and Hair Clip Set for Women and Girls, Medium (YCFJER-18GEOMPRL-C-GL)",B09B9G9RNV,https://www.amazon.in/dp/B09B9G9RNV,High,1,1,1,B,1,1,0,0,C,1,2,2,2,2,0,0,4,7,1,1,0,acceptable,available,0,58.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,Yellow Chimes,Fashion Jewellery,Yellow Chimes Exclusive Limited Read Crystal Edition Geometric Shape Tantailzing Drop Earrings For Women,B082QQ6PRT,https://www.amazon.in/dp/B082QQ6PRT,High,1,1,1,B,0,1,0,0,B,1,1,0,0,2,0,0,2,4,0,1,0,acceptable,available,0,32.22%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,Yellow Chimes,Fashion Jewellery,Yellow Chimes Elegant Latest Fashion Silver Plated Crystal designer Drop Earrings for Women and Girls (Design 6),B07T41QT3R,https://www.amazon.in/dp/B07T41QT3R,High,1,1,1,B,1,1,0,0,C,1,0,2,2,4,1,0,6,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582,Yellow Chimes,Fashion Jewellery,Yellow Chimes Splendid Collection A5 Grade Crystals Butterfly Drop Earrings for Women and Girls,B07T67F32M,https://www.amazon.in/dp/B07T67F32M,High,1,1,1,B,0,1,0,0,B,1,0,0,0,3,2,0,3,4,0,1,1,acceptable,available,0,42.22%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,Yellow Chimes,Fashion Jewellery,Yellow Chimes Splendid Collection A5 Grade Crystals Butterfly Drop Earrings for Women and Girls,B07T68CKQ6,https://www.amazon.in/dp/B07T68CKQ6,High,1,1,1,B,1,1,0,0,C,1,1,2,2,3,2,0,5,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,Yellow Chimes,Fashion Jewellery,Yellow Chimes Latest Fashion Geometric Round Dual Circle Gold Plated Drop Earrings For Women and Girls,B07XZ84B3J,https://www.amazon.in/dp/B07XZ84B3J,High,1,1,1,B,0,1,0,0,B,1,0,1,1,3,2,0,4,5,1,1,1,acceptable,available,0,57.78%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,Yellow Chimes,Fashion Jewellery,Yellow Chimes Latest Fashion Gold Plated Geometric Design Dangle Earrings for Women and Girls (Design 3),B097ZJQ957,https://www.amazon.in/dp/B097ZJQ957,High,1,1,1,B,1,1,0,0,C,1,1,1,1,5,1,0,6,8,1,1,1,acceptable,available,0,74.44%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,Yellow Chimes,Fashion Jewellery,Yellow Chimes Butterfly and Strings Gold Plated High Grade CZ Earrings for Women and Girls,B01GZQQZGK,https://www.amazon.in/dp/B01GZQQZGK,High,1,1,1,B,0,1,0,0,B,1,0,0,0,4,1,0,4,5,0,1,1,acceptable,available,0,47.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587,Yellow Chimes,Fashion Jewellery,Yellow Chimes A5 Grade Crystal Hanging Butterfly Long Tassel Gold Plated Dangle Earrings For Women and Girl's,B07XZBGG7R,https://www.amazon.in/dp/B07XZBGG7R,High,1,1,1,B,1,1,0,0,C,1,1,2,2,3,3,0,5,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588,Yellow Chimes,Fashion Jewellery,Yellow Chimes Dangle Earrings for Women and Girls,B071CDMP76,https://www.amazon.in/dp/B071CDMP76,High,1,1,1,B,1,1,0,0,C,1,1,1,1,2,0,0,3,5,1,1,0,acceptable,available,0,47.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,Yellow Chimes,Fashion Jewellery,Yellow Chimes Two Pairs Flower Design Earrings for Women and Girls,B07YNPB9S1,https://www.amazon.in/dp/B07YNPB9S1,High,1,1,1,B,1,1,0,0,C,1,2,1,1,2,0,0,3,6,1,1,0,acceptable,available,0,53.33%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,Yellow Chimes,Fashion Jewellery,Yellow Chimes Dangle Earrings for Women and Girls,B071CNQQX7,https://www.amazon.in/dp/B071CNQQX7,High,1,1,0,C,1,1,0,0,C,1,0,0,0,0,0,0,0,1,0,0,0,acceptable,available,0,5.56%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591,Yellow Chimes,Fashion Jewellery,Yellow Chimes Dangle Earrings for Women and Girls,B071CDJ8T5,https://www.amazon.in/dp/B071CDJ8T5,High,1,1,1,B,1,1,0,0,C,1,2,2,2,2,1,0,4,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,Yellow Chimes,Fashion Jewellery,Yellow Chimes Dangle Earrings for Women and Girls,B06Y62STDS,https://www.amazon.in/dp/B06Y62STDS,High,1,1,1,B,1,1,0,0,C,1,1,3,3,2,0,0,5,7,1,1,0,acceptable,available,0,58.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,Yellow Chimes,Fashion Jewellery,Yellow Chimes Elegant Simple Big Round Hoop Latest Design Gold Plated Party Wear Hoop Earrings For Women and Girl's,B07XZB8Q8Q,https://www.amazon.in/dp/B07XZB8Q8Q,High,1,1,1,B,1,1,0,0,C,1,1,2,2,3,1,0,5,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594,Yellow Chimes,Fashion Jewellery,Yellow Chimes Elegant Multicolor Bohemian Beads Round Shape Trendy Oxidized Gold Plated Drop Earrings For Women and Girl's,B07XZBDS1J,https://www.amazon.in/dp/B07XZBDS1J,High,1,1,1,A,0,1,1,0,B,1,0,2,2,4,1,0,6,7,1,1,1,acceptable,available,0,68.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,Yellow Chimes,Fashion Jewellery,Yellow Chimes Meenakari Work Rajwada Traditional Chandbali Earrings for Women & Girls,B079KGS8GT,https://www.amazon.in/dp/B079KGS8GT,High,1,1,1,A,1,1,1,0,C,1,2,0,0,1,0,0,1,4,0,1,0,acceptable,available,0,32.22%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,Yellow Chimes,Fashion Jewellery,Yellow Chimes Elegant Crystal Sparkling Floral Design Emerald Green Chandelier Drop Earrings for Women and Girls,B07XZ9L68H,https://www.amazon.in/dp/B07XZ9L68H,High,1,1,1,A,0,1,1,0,B,1,1,1,1,2,0,0,3,5,1,1,0,acceptable,available,0,47.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,Yellow Chimes,Fashion Jewellery,Yellow Chimes Sparkling Leaves Peach Shiny Flower Crystal Copper Stud Earrings for Women and Girls,B08PVYJYWT,https://www.amazon.in/dp/B08PVYJYWT,High,1,1,1,A,0,1,1,0,B,1,1,0,0,1,0,0,1,3,0,1,0,acceptable,available,0,26.67%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,Yellow Chimes,Fashion Jewellery,Yellow Chimes Vintage Indian Fashion Oxidized Gold Plated Metal Chandbali Earring for Women and Girls,B07M7NY169,https://www.amazon.in/dp/B07M7NY169,High,1,1,1,A,1,1,1,0,C,1,2,0,0,2,0,0,2,5,0,1,0,acceptable,available,0,37.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,Yellow Chimes,Fashion Jewellery,Yellow Chimes Pink Feathers Long Tassel Earrings for Women and Girls,B07MSMNWVW,https://www.amazon.in/dp/B07MSMNWVW,High,1,1,0,B,1,1,1,0,C,1,1,0,0,2,1,0,2,4,0,1,1,acceptable,available,0,42.22%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,Yellow Chimes,Fashion Jewellery,Yellow Chimes Charming Dual Butterfly Surgical Steel 18K Real Rose Gold Plated Stud Earrings for Girls and Women,B01LWQUG8X,https://www.amazon.in/dp/B01LWQUG8X,High,1,1,1,A,1,1,1,0,C,1,0,4,4,3,2,0,7,8,1,1,1,acceptable,available,0,74.44%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,Yellow Chimes,Fashion Jewellery,Yellow Chimes Western Style Long Chains Thread Tassels Silver Plated Party Wear Dangle Earrings for Women and Girls,B07X2222Z5,https://www.amazon.in/dp/B07X2222Z5,High,1,1,1,A,0,1,1,0,B,1,0,0,0,2,2,0,2,3,0,1,1,acceptable,available,0,36.67%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,Yellow Chimes,Fashion Jewellery,Yellow Chimes Girls/Women's A5 Grade Crystal Formal Casual Wear Evergreen White Pearl Studs Silver Plated Base Metal Small Stud Earrings,B07X232JDD,https://www.amazon.in/dp/B07X232JDD,High,1,1,1,A,1,1,1,0,C,1,0,0,0,1,0,0,1,2,0,1,0,acceptable,available,0,21.11%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,Yellow Chimes,Fashion Jewellery,Yellow Chimes Elegant Design Created White Opal Drop Earrings for Women and Girls,B07WYPXMS3,https://www.amazon.in/dp/B07WYPXMS3,High,1,1,1,A,0,1,1,0,B,1,0,0,0,4,0,0,4,5,0,1,0,acceptable,available,0,37.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,Yellow Chimes,Fashion Jewellery,Yellow Chimes Silver Plated Crystal Drop Earrings for Women and Girls,B07WZZ8L1B,https://www.amazon.in/dp/B07WZZ8L1B,High,1,1,1,A,1,1,1,0,C,1,1,3,3,2,1,0,5,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,Yellow Chimes,Fashion Jewellery,Yellow Chimes Designer Crystal Pearl Silver Plated Stylish Designer Earrings for Women and Girls,B07WYP1JMC,https://www.amazon.in/dp/B07WYP1JMC,High,1,1,1,A,0,1,1,1,C,1,0,0,0,1,0,1,1,2,0,1,0,acceptable,available,0,41.11%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,Yellow Chimes,Fashion Jewellery,Yellow Chimes Classic All Time Favorite Crystal Pearl Silver Plated Earrings for Women and Girls,B07WYLQKXP,https://www.amazon.in/dp/B07WYLQKXP,High,1,1,1,A,1,1,1,0,C,1,1,0,0,1,1,0,1,3,0,1,1,acceptable,available,0,36.67%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,Yellow Chimes,Fashion Jewellery,Yellow Chimes Elegant Latest Fashion Silver Plated Crystal designer Drop Earrings for Women and Girls (Design 8),B07ZTBHWG4,https://www.amazon.in/dp/B07ZTBHWG4,High,1,1,1,A,1,1,1,0,C,1,1,2,2,3,1,0,5,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,Yellow Chimes,Fashion Jewellery,Yellow Chimes Combo of Three Pairs Geometric Shapes With Wonderful Hanging Pearl Crystal Gold Plated Floral Drop Earrings for Women and Girls,B081SP4ZNZ,https://www.amazon.in/dp/B081SP4ZNZ,High,1,1,1,A,0,1,1,0,B,1,2,1,1,5,2,0,6,9,1,1,1,acceptable,available,0,80.00%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,Yellow Chimes,Fashion Jewellery,Yellow Chimes Combo of Twelve Pair's Latest Collection Fascinating Assorted Multiple Pearl Stud Stylish Hoop Earrings for Women and Girls,B081SPT3GM,https://www.amazon.in/dp/B081SPT3GM,High,1,1,1,A,0,1,1,0,B,1,0,2,2,5,0,0,7,8,1,1,0,acceptable,available,0,64.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
